year,t,d_log_emp_raw,d_log_emp_norm
1987,1,-0.4923311624338371,-0.05034945655356937
1988,2,-0.5063778848589777,-0.06867041711832833
1989,3,-0.5280393456154684,-0.0937142816972707
1990,4,-0.549311274418681,-0.12163721265554184
1991,5,-0.5989115523203576,-0.16624252944815687
